gameDate	homeScore	awayScore	homeTeam	awayTeam	venueName	city
2014-04-04	116	104	BKN	DET	Barclays Center	Brooklyn
2014-04-04	121	122	MIA	MIN	American Airlines Arena	Miami
2014-04-04	89	90	NYK	WAS	Madison Square Garden	New York City
2014-04-04	102	90	CHI	MIL	United Center	Chicago
2014-04-04	100	96	UTA	NOH	EnergySolutions Arena	Salt Lake City
2014-04-04	111	107	HOU	OKC	Toyota Center	Houston
2014-04-04	93	109	POR	PHX	Moda Center	Portland
2014-04-04	102	69	GSW	SAC	Oracle Arena	Oakland
2014-04-04	95	107	LAL	DAL	Staples Center	Los Angeles
2014-04-05	100	92	ORL	MIN	Amway Center	Orlando
2014-04-05	78	96	WAS	CHI	Verizon Center	Washington D.C.
2014-04-05	94	96	CLE	CHA	Quicken Loans Arena	Cleveland
2014-04-05	115	111	DET	BOS	The Palace of Auburn Hills	Detroit
2014-04-05	101	105	PHI	BKN	Wells Fargo Center	Philadelphia
2014-04-05	98	102	MIL	TOR	BMO Harris Bradley Center	Milwaukee
2014-04-06	102	91	MIA	NYK	American Airlines Arena	Miami
2014-04-06	97	120	LAL	LAC	Staples Center	Los Angeles
2014-04-06	91	93	SAC	DAL	Sleep Train Arena	Sacramento
2014-04-06	88	107	IND	ATL	Bankers Life Fieldhouse	Indianapolis
2014-04-06	130	125	HOU	DEN	Toyota Center	Houston
2014-04-06	112	92	SAS	MEM	AT&T Center	San Antonio
2014-04-06	130	102	GSW	UTA	Oracle Arena	Oakland
2014-04-06	122	115	PHX	OKC	US Airways Center	Phoenix
2014-04-06	100	94	POR	NOH	Moda Center	Portland
2014-04-08	91	110	SAS	MIN	AT&T Center	San Antonio
2014-04-08	95	102	ATL	DET	Philips Arena	Atlanta
2014-04-08	87	88	MIA	BKN	American Airlines Arena	Miami
2014-04-08	83	95	UTA	DAL	EnergySolutions Arena	Salt Lake City
2014-04-08	92	107	SAC	OKC	Sleep Train Arena	Sacramento
2014-04-08	130	145	LAL	HOU	Staples Center	Los Angeles
2014-04-09	122	100	CLE	DET	Quicken Loans Arena	Cleveland
2014-04-09	115	111	ORL	BKN	Amway Center	Orlando
2014-04-09	125	114	TOR	PHI	Air Canada Centre	Toronto
2014-04-09	88	94	WAS	CHA	Verizon Center	Washington D.C.
2014-04-09	105	97	ATL	BOS	Philips Arena	Atlanta
2014-04-09	107	102	MEM	MIA	FedExForum	Memphis
2014-04-09	102	104	MIL	IND	BMO Harris Bradley Center	Milwaukee
2014-04-09	87	102	MIN	CHI	Target Center	Minneapolis
2014-04-09	88	94	NOH	PHX	Smoothie King Center	New Orleans
2014-04-09	123	116	DEN	HOU	Pepsi Center	Denver
2014-04-09	100	99	POR	SAC	Moda Center	Portland
2014-04-09	101	107	LAC	OKC	Staples Center	Los Angeles
2014-04-10	100	109	DAL	SAS	American Airlines Center	Dallas
2014-04-10	99	100	GSW	DEN	Oracle Arena	Oakland
2014-04-11	86	96	ORL	WAS	Amway Center	Orlando
2014-04-11	100	108	TOR	NYK	Air Canada Centre	Toronto
2014-04-11	106	103	BOS	CHA	TD Garden	Boston
2014-04-11	88	93	BKN	ATL	Barclays Center	Brooklyn
2014-04-11	98	86	MIA	IND	American Airlines Arena	Miami
2014-04-11	106	98	CHI	DET	United Center	Chicago
2014-04-11	117	95	MEM	PHI	FedExForum	Memphis
2014-04-11	112	110	MIN	HOU	Target Center	Minneapolis
2014-04-11	116	94	OKC	NOH	Chesapeake Energy Arena	Oklahoma City
2014-04-11	119	116	MIL	CLE	BMO Harris Bradley Center	Milwaukee
2014-04-11	112	104	SAS	PHX	AT&T Center	San Antonio
2014-04-11	99	111	UTA	POR	EnergySolutions Arena	Salt Lake City
2014-04-11	95	112	LAL	GSW	Staples Center	Los Angeles
2014-04-12	101	117	SAC	LAC	Sleep Train Arena	Sacramento
2014-04-12	111	105	CHA	PHI	Time Warner Cable Arena	Charlotte
2014-04-12	104	91	WAS	MIL	Verizon Center	Washington D.C.
2014-04-12	98	85	ATL	MIA	Philips Arena	Atlanta
2014-04-12	99	111	CLE	BOS	Quicken Loans Arena	Cleveland
2014-04-12	111	104	HOU	NOH	Toyota Center	Houston
2014-04-12	101	98	DAL	PHX	American Airlines Center	Dallas
2014-04-12	101	94	DEN	UTA	Pepsi Center	Denver
2014-04-13	100	89	NYK	CHI	Madison Square Garden	New York City
2014-04-13	107	116	DET	TOR	The Palace of Auburn Hills	Detroit
2014-04-13	97	88	BKN	ORL	Barclays Center	Brooklyn
2014-04-13	102	97	IND	OKC	Bankers Life Fieldhouse	Indianapolis
2014-04-13	119	117	POR	GSW	Moda Center	Portland
2014-04-13	106	103	SAC	MIN	Sleep Train Arena	Sacramento
2014-04-13	90	102	LAL	MEM	Staples Center	Los Angeles
2014-04-14	113	108	PHI	BOS	Wells Fargo Center	Philadelphia
2014-04-14	110	100	TOR	MIL	Air Canada Centre	Toronto
2014-04-14	114	93	WAS	MIA	Verizon Center	Washington D.C.
2014-04-14	93	95	ATL	CHA	Philips Arena	Atlanta
2014-04-14	108	95	CHI	ORL	United Center	Chicago
2014-04-14	104	98	HOU	SAS	Toyota Center	Houston
2014-04-14	101	89	NOH	OKC	Smoothie King Center	New Orleans
2014-04-14	104	119	UTA	LAL	EnergySolutions Arena	Salt Lake City
2014-04-14	91	97	PHX	MEM	US Airways Center	Phoenix
2014-04-14	130	120	GSW	MIN	Oracle Arena	Oakland
2014-04-15	98	109	BKN	NYK	Barclays Center	Brooklyn
2014-04-15	105	117	DEN	LAC	Pepsi Center	Denver
2014-04-16	106	105	MEM	DAL	FedExForum	Memphis
2014-04-16	103	111	MIL	ATL	BMO Harris Bradley Center	Milwaukee
2014-04-16	130	136	MIN	UTA	Target Center	Minneapolis
2014-04-16	105	100	NOH	HOU	Smoothie King Center	New Orleans
2014-04-16	112	111	OKC	DET	Chesapeake Energy Arena	Oklahoma City
2014-04-16	100	113	SAS	LAL	AT&T Center	San Antonio
2014-04-16	102	118	BOS	WAS	TD Garden	Boston
2014-04-16	91	86	CHA	CHI	Time Warner Cable Arena	Charlotte
2014-04-16	114	85	CLE	BKN	Quicken Loans Arena	Cleveland
2014-04-16	87	100	MIA	PHI	American Airlines Arena	Miami
2014-04-16	95	92	NYK	TOR	Madison Square Garden	New York City
2014-04-16	86	101	ORL	IND	Amway Center	Orlando
2014-04-16	110	104	POR	LAC	Moda Center	Portland
2014-04-16	99	104	SAC	PHX	Sleep Train Arena	Sacramento
2014-04-16	112	116	DEN	GSW	Pepsi Center	Denver
